index,regime,q,day,value
NDX,HHM,50,4,0.015
NDX,HHM,50,5,0.345
NDX,HHM,50,6,0.501
NDX,HHM,50,7,0.575
NDX,HHM,50,8,0.324
NDX,HHM,50,9,0.668
NDX,HHM,50,10,0.829
NDX,HHM,50,11,1.12
NDX,HHM,50,12,1.392
NDX,HHM,50,13,1.515
NDX,HHM,50,14,1.665
NDX,HHM,50,15,1.943
NDX,HHM,50,16,2.144
NDX,HHM,50,17,2.436
NDX,HHM,50,18,2.724
NDX,HHM,50,19,2.897
NDX,HHM,50,20,3.22
NDX,HHM,50,21,3.078
NDX,HHM,75,0,0.0
NDX,HHM,75,1,0.694
NDX,HHM,75,2,1.012
NDX,HHM,75,3,1.328
NDX,HHM,75,4,1.734
NDX,HHM,75,5,1.938
NDX,HHM,75,6,2.221
NDX,HHM,75,7,2.449
NDX,HHM,75,8,2.744
NDX,HHM,75,9,3.092
NDX,HHM,75,10,3.132
NDX,HHM,75,11,3.301
NDX,HHM,75,12,3.586
NDX,HHM,75,13,3.881
NDX,HHM,75,14,4.184
NDX,HHM,75,15,4.74
NDX,HHM,75,16,4.789
NDX,HHM,75,17,5.114
NDX,HHM,75,18,5.536
NDX,HHM,75,19,5.661
NDX,HHM,75,20,5.657
NDX,HHM,75,21,5.765
NDX,HHM,90,0,0.0
NDX,HHM,90,1,1.307
NDX,HHM,90,2,1.935
NDX,HHM,90,3,2.231
NDX,HHM,90,4,3.243
NDX,HHM,90,5,3.455
NDX,HHM,90,6,3.501
NDX,HHM,90,7,3.782
NDX,HHM,90,8,4.157
NDX,HHM,90,9,4.407
NDX,HHM,90,10,5.106
NDX,HHM,90,11,5.965
NDX,HHM,90,12,6.436
NDX,HHM,90,13,7.195
NDX,HHM,90,14,7.304
NDX,HHM,90,15,7.628
NDX,HHM,90,16,7.9
NDX,HHM,90,17,8.356
NDX,HHM,90,18,8.707
NDX,HHM,90,19,9.176
NDX,HHM,90,20,9.145
NDX,HHM,90,21,9.022
NDX,HMH,10,0,0.0
NDX,HMH,10,1,-2.706
NDX,HMH,10,2,-4.415
NDX,HMH,10,3,-4.267
NDX,HMH,10,4,-5.622
NDX,HMH,10,5,-6.263
NDX,HMH,10,6,-5.818
NDX,HMH,10,7,-6.221
NDX,HMH,10,8,-7.171
NDX,HMH,10,9,-7.546
NDX,HMH,10,10,-7.594
NDX,HMH,10,11,-8.146
NDX,HMH,10,12,-9.887
NDX,HMH,10,13,-10.192
NDX,HMH,10,14,-11.419
NDX,HMH,10,15,-11.67
NDX,HMH,10,16,-10.348
NDX,HMH,10,17,-10.314
NDX,HMH,10,18,-10.222
NDX,HMH,10,19,-11.881
NDX,HMH,10,20,-11.0
NDX,HMH,10,21,-11.942
NDX,HMH,25,0,0.0
NDX,HMH,25,1,-1.285
NDX,HMH,25,2,-2.187
NDX,HMH,25,3,-2.72
NDX,HMH,25,4,-2.999
NDX,HMH,25,5,-3.703
NDX,HMH,25,6,-4.193
NDX,HMH,25,7,-4.369
NDX,HMH,25,8,-3.59
NDX,HMH,25,9,-5.819
NDX,HMH,25,10,-6.048
NDX,HMH,25,11,-6.872
NDX,HMH,25,12,-6.103
NDX,HMH,25,13,-5.782
NDX,HMH,25,14,-6.244
NDX,HMH,25,15,-6.387
NDX,HMH,25,16,-6.027
NDX,HMH,25,17,-6.08
NDX,HMH,25,18,-6.604
NDX,HMH,25,19,-7.474
NDX,HMH,25,20,-7.421
NDX,HMH,25,21,-7.019
NDX,HMH,50,0,0.0
NDX,HMH,50,1,-0.815
NDX,HMH,50,2,-1.125
NDX,HMH,50,3,-0.45
NDX,HMH,50,4,-1.393
NDX,HMH,50,5,-1.462
NDX,HMH,50,6,0.554
NDX,HMH,50,7,1.83
NDX,HMH,50,8,1.297
NDX,HMH,50,9,0.821
NDX,HMH,50,10,0.852
NDX,HMH,50,11,0.681
NDX,HMH,50,12,0.514
NDX,HMH,50,13,-0.072
NDX,HMH,50,14,-0.891
NDX,HMH,50,15,-1.001
NDX,HMH,50,16,-1.098
NDX,HMH,50,17,-2.0
NDX,HMH,50,18,-2.47
NDX,HMH,50,19,-2.131
NDX,HMH,50,20,-1.906
NDX,HMH,50,21,-2.765
NDX,HMH,75,0,0.0
NDX,HMH,75,1,0.274
NDX,HMH,75,2,1.139
NDX,HMH,75,3,0.788
NDX,HMH,75,4,1.057
NDX,HMH,75,5,2.283
NDX,HMH,75,6,2.987
NDX,HMH,75,7,3.925
NDX,HMH,75,8,3.926
NDX,HMH,75,9,3.563
NDX,HMH,75,10,3.227
NDX,HMH,75,11,3.23
NDX,HMH,75,12,2.619
NDX,HMH,75,13,2.559
NDX,HMH,75,14,3.165
NDX,HMH,75,15,2.762
NDX,HMH,75,16,1.909
NDX,HMH,75,17,2.507
NDX,HMH,75,18,1.847
NDX,HMH,75,19,2.55
NDX,HMH,75,20,2.839
NDX,HMH,75,21,2.962
NDX,HMH,90,0,0.0
NDX,HMH,90,1,2.081
NDX,HMH,90,2,1.686
NDX,HMH,90,3,2.024
NDX,HMH,90,4,3.042
NDX,HMH,90,5,3.945
NDX,HMH,90,6,4.075
NDX,HMH,90,7,4.487
NDX,HMH,90,8,5.294
NDX,HMH,90,9,5.153
NDX,HMH,90,10,5.737
NDX,HMH,90,11,5.33
NDX,HMH,90,12,5.732
NDX,HMH,90,13,7.929
NDX,HMH,90,14,8.475
NDX,HMH,90,15,9.757
NDX,HMH,90,16,8.944
NDX,HMH,90,17,8.434
NDX,HMH,90,18,7.541
NDX,HMH,90,19,8.114
NDX,HMH,90,20,8.406
NDX,HMH,90,21,9.184
NDX,HML,10,0,0.0
NDX,HML,10,1,-2.364
NDX,HML,10,2,-2.381
NDX,HML,10,3,-2.403
NDX,HML,10,4,-1.728
NDX,HML,10,5,-1.603
NDX,HML,10,6,-0.814
NDX,HML,10,7,-0.557
NDX,HML,10,8,-0.001
NDX,HML,10,9,-0.583
NDX,HML,10,10,-1.382
NDX,HML,10,11,-0.831
NDX,HML,10,12,-1.76
NDX,HML,10,13,-1.24
NDX,HML,10,14,-1.078
NDX,HML,10,15,0.241
NDX,HML,10,16,0.585
NDX,HML,10,17,1.066
NDX,HML,10,18,1.58
NDX,HML,10,19,3.331
NDX,HML,10,20,2.689
NDX,HML,10,21,3.429
NDX,HML,25,0,0.0
NDX,HML,25,1,-0.584
NDX,HML,25,2,-1.092
NDX,HML,25,3,-0.509
NDX,HML,25,4,0.172
NDX,HML,25,5,0.131
NDX,HML,25,6,0.804
NDX,HML,25,7,0.083
NDX,HML,25,8,0.726
NDX,HML,25,9,0.957
NDX,HML,25,10,0.629
NDX,HML,25,11,0.669
NDX,HML,25,12,0.624
NDX,HML,25,13,0.263
NDX,HML,25,14,0.954
NDX,HML,25,15,1.417
NDX,HML,25,16,2.625
NDX,HML,25,17,2.363
NDX,HML,25,18,3.249
NDX,HML,25,19,3.744
NDX,HML,25,20,4.264
NDX,HML,25,21,4.759
NDX,HML,50,0,0.0
NDX,HML,50,1,0.217
NDX,HML,50,2,1.051
NDX,HML,50,3,1.552
NDX,HML,50,4,2.151
NDX,HML,50,5,2.144
NDX,HML,50,6,2.163
NDX,HML,50,7,2.645
NDX,HML,50,8,2.685
NDX,HML,50,9,2.742
NDX,HML,50,10,3.788
NDX,HML,50,11,4.037
NDX,HML,50,12,3.601
NDX,HML,50,13,3.33
NDX,HML,50,14,3.084
NDX,HML,50,15,3.901
NDX,HML,50,16,4.261
NDX,HML,50,17,5.655
NDX,HML,50,18,5.139
NDX,HML,50,19,5.323
NDX,HML,50,20,5.573
NDX,HML,50,21,6.703
NDX,HML,75,0,0.0
NDX,HML,75,1,0.83
NDX,HML,75,2,1.829
NDX,HML,75,3,2.933
NDX,HML,75,4,3.528
NDX,HML,75,5,4.24
NDX,HML,75,6,4.216
NDX,HML,75,7,4.039
NDX,HML,75,8,4.592
NDX,HML,75,9,5.07
NDX,HML,75,10,6.212
NDX,HML,75,11,5.901
NDX,HML,75,12,6.514
NDX,HML,75,13,7.3
NDX,HML,75,14,6.474
NDX,HML,75,15,6.023
NDX,HML,75,16,6.953
NDX,HML,75,17,7.157
NDX,HML,75,18,7.594
NDX,HML,75,19,7.819
NDX,HML,75,20,8.72
NDX,HML,75,21,8.393
NDX,HML,90,0,0.0
NDX,HML,90,1,1.976
NDX,HML,90,2,2.359
NDX,HML,90,3,4.276
NDX,HML,90,4,6.052
NDX,HML,90,5,5.736
NDX,HML,90,6,6.029
NDX,HML,90,7,6.122
NDX,HML,90,8,6.529
NDX,HML,90,9,5.731
NDX,HML,90,10,7.226
NDX,HML,90,11,7.33
NDX,HML,90,12,7.513
NDX,HML,90,13,7.942
NDX,HML,90,14,7.818
NDX,HML,90,15,8.757
NDX,HML,90,16,9.244
NDX,HML,90,17,8.324
NDX,HML,90,18,9.288
NDX,HML,90,19,10.759
NDX,HML,90,20,11.763
NDX,HML,90,21,12.194
NDX,HMM,10,0,0.0
NDX,HMM,10,1,-0.857
NDX,HMM,10,2,-0.853
NDX,HMM,10,3,-1.607
NDX,HMM,10,4,-2.156
NDX,HMM,10,5,-1.061
NDX,HMM,10,6,-1.043
NDX,HMM,10,7,-1.704
NDX,HMM,10,8,-2.134
NDX,HMM,10,9,-2.189
NDX,HMM,10,10,-0.857
NDX,HMM,10,11,-1.097
NDX,HMM,10,12,-2.305
NDX,HMM,10,13,-2.418
NDX,HMM,10,14,-2.977
NDX,HMM,10,15,-2.077
NDX,HMM,10,16,-3.224
NDX,HMM,10,17,-3.949
NDX,HMM,10,18,-3.691
